,Unnamed: 0,miRNA,disease
229,230,hsa-mir-422a,Colon Neoplasms
230,231,hsa-mir-422b,Colon Neoplasms
231,232,hsa-mir-451,Colon Neoplasms
232,233,hsa-mir-497,Colon Neoplasms
233,234,hsa-mir-7,Colon Neoplasms
234,235,hsa-mir-9,Colon Neoplasms
235,236,hsa-mir-92,Colon Neoplasms
236,237,hsa-mir-93,Colon Neoplasms
237,238,hsa-mir-95,Colon Neoplasms
238,239,hsa-mir-96,Colon Neoplasms
239,240,hsa-mir-103,Esophageal Neoplasms
240,241,hsa-mir-107,Esophageal Neoplasms
241,242,hsa-mir-192,Esophageal Neoplasms
242,243,hsa-mir-194,Esophageal Neoplasms
243,244,hsa-mir-196a,Esophageal Neoplasms
244,245,hsa-mir-203,Esophageal Neoplasms
245,246,hsa-mir-205,Esophageal Neoplasms
246,247,hsa-mir-21,Esophageal Neoplasms
247,248,hsa-mir-223,Esophageal Neoplasms
248,249,hsa-mir-373,Esophageal Neoplasms
249,250,hsa-mir-375,Esophageal Neoplasms
250,251,hsa-mir-10b,Glioblastoma
251,252,hsa-mir-123,Glioblastoma
252,253,hsa-mir-125b,Glioblastoma
253,254,hsa-mir-128a,Glioblastoma
254,255,hsa-mir-130a,Glioblastoma
255,256,hsa-mir-153,Glioblastoma
256,257,hsa-mir-181a,Glioblastoma
257,258,hsa-mir-181b,Glioblastoma
258,259,hsa-mir-181c,Glioblastoma
259,260,hsa-mir-191,Glioblastoma
260,261,hsa-mir-197,Glioblastoma
261,262,hsa-mir-21,Glioblastoma
262,263,hsa-mir-220,Glioblastoma
263,264,hsa-mir-221,Glioblastoma
264,265,hsa-mir-222,Glioblastoma
265,266,hsa-mir-23a,Glioblastoma
266,267,hsa-mir-23b,Glioblastoma
267,268,hsa-mir-24,Glioblastoma
268,269,hsa-mir-25,Glioblastoma
269,270,hsa-mir-34a,Glioblastoma
270,271,hsa-mir-425,Glioblastoma
271,272,hsa-mir-451,Glioblastoma
272,273,hsa-mir-486,Glioblastoma
273,274,hsa-mir-7,Glioblastoma
274,275,hsa-mir-9,Glioblastoma
275,276,hsa-let-7d,Head and Neck Neoplasms
276,277,hsa-let-7e,Head and Neck Neoplasms
277,278,hsa-let-7g,Head and Neck Neoplasms
278,279,hsa-let-7i,Head and Neck Neoplasms
279,280,hsa-mir-1,Head and Neck Neoplasms
280,281,hsa-mir-101,Head and Neck Neoplasms
281,282,hsa-mir-122a,Head and Neck Neoplasms
282,283,hsa-mir-133a,Head and Neck Neoplasms
283,284,hsa-mir-138,Head and Neck Neoplasms
284,285,hsa-mir-141,Head and Neck Neoplasms
285,286,hsa-mir-142,Head and Neck Neoplasms
286,287,hsa-mir-146b,Head and Neck Neoplasms
287,288,hsa-mir-148a,Head and Neck Neoplasms
288,289,hsa-mir-148b,Head and Neck Neoplasms
289,290,hsa-mir-155,Head and Neck Neoplasms
290,291,hsa-mir-15a,Head and Neck Neoplasms
291,292,hsa-mir-18,Head and Neck Neoplasms
292,293,hsa-mir-186,Head and Neck Neoplasms
293,294,hsa-mir-191,Head and Neck Neoplasms
294,295,hsa-mir-195,Head and Neck Neoplasms
295,296,hsa-mir-197,Head and Neck Neoplasms
296,297,hsa-mir-19a,Head and Neck Neoplasms
297,298,hsa-mir-200a,Head and Neck Neoplasms
298,299,hsa-mir-205,Head and Neck Neoplasms
299,300,hsa-mir-21,Head and Neck Neoplasms
300,301,hsa-mir-210,Head and Neck Neoplasms
301,302,hsa-mir-214,Head and Neck Neoplasms
302,303,hsa-mir-22,Head and Neck Neoplasms
303,304,hsa-mir-221,Head and Neck Neoplasms
304,305,hsa-mir-29b,Head and Neck Neoplasms
305,306,hsa-mir-29c,Head and Neck Neoplasms
306,307,hsa-mir-30b,Head and Neck Neoplasms
307,308,hsa-mir-30e,Head and Neck Neoplasms
308,309,hsa-mir-31,Head and Neck Neoplasms
309,310,hsa-mir-331,Head and Neck Neoplasms
310,311,hsa-mir-373,Head and Neck Neoplasms
311,312,hsa-mir-374,Head and Neck Neoplasms
312,313,hsa-mir-375,Head and Neck Neoplasms
313,314,hsa-mir-422b,Head and Neck Neoplasms
314,315,hsa-mir-424,Head and Neck Neoplasms
315,316,hsa-mir-494,Head and Neck Neoplasms
316,317,hsa-mir-498,Head and Neck Neoplasms
317,318,hsa-mir-563,Head and Neck Neoplasms
318,319,hsa-mir-565,Head and Neck Neoplasms
319,320,hsa-mir-572,Head and Neck Neoplasms
320,321,hsa-mir-628,Head and Neck Neoplasms
321,322,hsa-mir-637,Head and Neck Neoplasms
322,323,hsa-mir-7,Head and Neck Neoplasms
323,324,hsa-mir-98,Head and Neck Neoplasms
324,325,hsa-let-7a,Carcinoma Hepatocellular
325,326,hsa-let-7b,Carcinoma Hepatocellular
326,327,hsa-let-7c,Carcinoma Hepatocellular
327,328,hsa-let-7d,Carcinoma Hepatocellular
328,329,hsa-let-7d,Carcinoma Hepatocellular
329,330,hsa-let-7e,Carcinoma Hepatocellular
330,331,hsa-let-7f,Carcinoma Hepatocellular
331,332,hsa-let-7g,Carcinoma Hepatocellular
332,333,hsa-mir-1,Carcinoma Hepatocellular
333,334,hsa-mir-1,Carcinoma Hepatocellular
334,335,hsa-mir-101,Carcinoma Hepatocellular
335,336,hsa-mir-101b,Carcinoma Hepatocellular
336,337,hsa-mir-103,Carcinoma Hepatocellular
337,338,hsa-mir-106a,Carcinoma Hepatocellular
338,339,hsa-mir-106b,Carcinoma Hepatocellular
339,340,hsa-mir-107,Carcinoma Hepatocellular
340,341,hsa-mir-122,Carcinoma Hepatocellular
341,342,hsa-mir-122a,Carcinoma Hepatocellular
342,343,hsa-mir-123,Carcinoma Hepatocellular
343,344,hsa-mir-124,Carcinoma Hepatocellular
344,345,hsa-mir-124a,Carcinoma Hepatocellular
345,346,hsa-mir-125a,Carcinoma Hepatocellular
346,347,hsa-mir-125b,Carcinoma Hepatocellular
347,348,hsa-mir-126,Carcinoma Hepatocellular
348,349,hsa-mir-127,Carcinoma Hepatocellular
349,350,hsa-mir-128b,Carcinoma Hepatocellular
350,351,hsa-mir-129,Carcinoma Hepatocellular
351,352,hsa-mir-130a,Carcinoma Hepatocellular
352,353,hsa-mir-130b,Carcinoma Hepatocellular
353,354,hsa-mir-132,Carcinoma Hepatocellular
354,355,hsa-mir-133a,Carcinoma Hepatocellular
355,356,hsa-mir-136,Carcinoma Hepatocellular
356,357,hsa-mir-137,Carcinoma Hepatocellular
357,358,hsa-mir-139,Carcinoma Hepatocellular
358,359,hsa-mir-141,Carcinoma Hepatocellular
359,360,hsa-mir-142,Carcinoma Hepatocellular
360,361,hsa-mir-143,Carcinoma Hepatocellular
361,362,hsa-mir-145,Carcinoma Hepatocellular
362,363,hsa-mir-146a,Carcinoma Hepatocellular
363,364,hsa-mir-148a,Carcinoma Hepatocellular
364,365,hsa-mir-148b,Carcinoma Hepatocellular
365,366,hsa-mir-150,Carcinoma Hepatocellular
366,367,hsa-mir-151,Carcinoma Hepatocellular
367,368,hsa-mir-152,Carcinoma Hepatocellular
368,369,hsa-mir-155,Carcinoma Hepatocellular
369,370,hsa-mir-15a,Carcinoma Hepatocellular
370,371,hsa-mir-16,Carcinoma Hepatocellular
371,372,hsa-mir-16a,Carcinoma Hepatocellular
372,373,hsa-mir-17,Carcinoma Hepatocellular
373,374,hsa-mir-172a,Carcinoma Hepatocellular
374,375,hsa-mir-18,Carcinoma Hepatocellular
375,376,hsa-mir-181a,Carcinoma Hepatocellular
376,377,hsa-mir-181b,Carcinoma Hepatocellular
377,378,hsa-mir-181c,Carcinoma Hepatocellular
378,379,hsa-mir-182,Carcinoma Hepatocellular
379,380,hsa-mir-183,Carcinoma Hepatocellular
380,381,hsa-mir-185,Carcinoma Hepatocellular
381,382,hsa-mir-186,Carcinoma Hepatocellular
382,383,hsa-mir-18a,Carcinoma Hepatocellular
383,384,hsa-mir-192,Carcinoma Hepatocellular
384,385,hsa-mir-194,Carcinoma Hepatocellular
385,386,hsa-mir-195,Carcinoma Hepatocellular
386,387,hsa-mir-199a,Carcinoma Hepatocellular
387,388,hsa-mir-199b,Carcinoma Hepatocellular
388,389,hsa-mir-19a,Carcinoma Hepatocellular
389,390,hsa-mir-19b,Carcinoma Hepatocellular
390,391,hsa-mir-200a,Carcinoma Hepatocellular
391,392,hsa-mir-200b,Carcinoma Hepatocellular
392,393,hsa-mir-203,Carcinoma Hepatocellular
393,394,hsa-mir-205,Carcinoma Hepatocellular
394,395,hsa-mir-205,Carcinoma Hepatocellular
395,396,hsa-mir-207,Carcinoma Hepatocellular
396,397,hsa-mir-20a,Carcinoma Hepatocellular
397,398,hsa-mir-21,Carcinoma Hepatocellular
398,399,hsa-mir-21,Carcinoma Hepatocellular
399,400,hsa-mir-212,Carcinoma Hepatocellular
400,401,hsa-mir-214,Carcinoma Hepatocellular
401,402,hsa-mir-215,Carcinoma Hepatocellular
402,403,hsa-mir-216,Carcinoma Hepatocellular
403,404,hsa-mir-219,Carcinoma Hepatocellular
404,405,hsa-mir-221,Carcinoma Hepatocellular
405,406,hsa-mir-222,Carcinoma Hepatocellular
406,407,hsa-mir-223,Carcinoma Hepatocellular
407,408,hsa-mir-224,Carcinoma Hepatocellular
408,409,hsa-mir-23a,Carcinoma Hepatocellular
409,410,hsa-mir-23b,Carcinoma Hepatocellular
410,411,hsa-mir-24,Carcinoma Hepatocellular
411,412,hsa-mir-25,Carcinoma Hepatocellular
412,413,hsa-mir-26a,Carcinoma Hepatocellular
413,414,hsa-mir-26b,Carcinoma Hepatocellular
414,415,hsa-mir-27a,Carcinoma Hepatocellular
415,416,hsa-mir-301,Carcinoma Hepatocellular
416,417,hsa-mir-30a,Carcinoma Hepatocellular
417,418,hsa-mir-30c,Carcinoma Hepatocellular
418,419,hsa-mir-30e,Carcinoma Hepatocellular
419,420,hsa-mir-31,Carcinoma Hepatocellular
420,421,hsa-mir-320,Carcinoma Hepatocellular
421,422,hsa-mir-324,Carcinoma Hepatocellular
422,423,hsa-mir-328,Carcinoma Hepatocellular
423,424,hsa-mir-338,Carcinoma Hepatocellular
424,425,hsa-mir-34a,Carcinoma Hepatocellular
425,426,hsa-mir-374,Carcinoma Hepatocellular
426,427,hsa-mir-500,Carcinoma Hepatocellular
427,428,hsa-mir-594,Carcinoma Hepatocellular
428,429,hsa-mir-9,Carcinoma Hepatocellular
429,430,hsa-mir-92a,Carcinoma Hepatocellular
430,431,hsa-mir-93,Carcinoma Hepatocellular
431,432,hsa-mir-96,Carcinoma Hepatocellular
432,433,hsa-mir-99a,Carcinoma Hepatocellular
433,434,hsa-let-7a,Lung Neoplasms
434,435,hsa-let-7b,Lung Neoplasms
435,436,hsa-let-7c,Lung Neoplasms
436,437,hsa-let-7d,Lung Neoplasms
437,438,hsa-let-7e,Lung Neoplasms
438,439,hsa-let-7f,Lung Neoplasms
439,440,hsa-let-7g,Lung Neoplasms
440,441,hsa-mir-1,Lung Neoplasms
441,442,hsa-mir-101,Lung Neoplasms
442,443,hsa-mir-106a,Lung Neoplasms
443,444,hsa-mir-124a,Lung Neoplasms
444,445,hsa-mir-125a,Lung Neoplasms
445,446,hsa-mir-125b,Lung Neoplasms
446,447,hsa-mir-126,Lung Neoplasms
447,448,hsa-mir-128b,Lung Neoplasms
448,449,hsa-mir-130a,Lung Neoplasms
449,450,hsa-mir-133b,Lung Neoplasms
450,451,hsa-mir-139,Lung Neoplasms
451,452,hsa-mir-140,Lung Neoplasms
452,453,hsa-mir-141,Lung Neoplasms
453,454,hsa-mir-143,Lung Neoplasms
454,455,hsa-mir-145,Lung Neoplasms
455,456,hsa-mir-146a,Lung Neoplasms
456,457,hsa-mir-146b,Lung Neoplasms
457,458,hsa-mir-150,Lung Neoplasms
458,459,hsa-mir-155,Lung Neoplasms
459,460,hsa-mir-16,Lung Neoplasms
460,461,hsa-mir-17,Lung Neoplasms
461,462,hsa-mir-181c,Lung Neoplasms
462,463,hsa-mir-182,Lung Neoplasms
463,464,hsa-mir-183,Lung Neoplasms
464,465,hsa-mir-18a,Lung Neoplasms
465,466,hsa-mir-191,Lung Neoplasms
466,467,hsa-mir-192,Lung Neoplasms
467,468,hsa-mir-195,Lung Neoplasms
468,469,hsa-mir-197,Lung Neoplasms
469,470,hsa-mir-198,Lung Neoplasms
470,471,hsa-mir-199a,Lung Neoplasms
471,472,hsa-mir-199b,Lung Neoplasms
472,473,hsa-mir-19a,Lung Neoplasms
473,474,hsa-mir-200a,Lung Neoplasms
474,475,hsa-mir-200b,Lung Neoplasms
475,476,hsa-mir-200c,Lung Neoplasms
476,477,hsa-mir-203,Lung Neoplasms
477,478,hsa-mir-204,Lung Neoplasms
478,479,hsa-mir-205,Lung Neoplasms
479,480,hsa-mir-20a,Lung Neoplasms
480,481,hsa-mir-21,Lung Neoplasms
481,482,hsa-mir-210,Lung Neoplasms
482,483,hsa-mir-212,Lung Neoplasms
483,484,hsa-mir-214,Lung Neoplasms
484,485,hsa-mir-216,Lung Neoplasms
485,486,hsa-mir-218,Lung Neoplasms
486,487,hsa-mir-219,Lung Neoplasms
487,488,hsa-mir-22,Lung Neoplasms
488,489,hsa-mir-220,Lung Neoplasms
489,490,hsa-mir-224,Lung Neoplasms
490,491,hsa-mir-24,Lung Neoplasms
491,492,hsa-mir-26a,Lung Neoplasms
492,493,hsa-mir-27b,Lung Neoplasms
493,494,hsa-mir-29a,Lung Neoplasms
494,495,hsa-mir-29b,Lung Neoplasms
495,496,hsa-mir-29c,Lung Neoplasms
496,497,hsa-mir-30a,Lung Neoplasms
497,498,hsa-mir-30e,Lung Neoplasms
498,499,hsa-mir-31,Lung Neoplasms
499,500,hsa-mir-32,Lung Neoplasms
500,501,hsa-mir-324,Lung Neoplasms
501,502,hsa-mir-33,Lung Neoplasms
502,503,hsa-mir-335,Lung Neoplasms
503,504,hsa-mir-338,Lung Neoplasms
504,505,hsa-mir-339,Lung Neoplasms
505,506,hsa-mir-345,Lung Neoplasms
506,507,hsa-mir-377,Lung Neoplasms
507,508,hsa-mir-423,Lung Neoplasms
508,509,hsa-mir-425,Lung Neoplasms
509,510,hsa-mir-429,Lung Neoplasms
510,511,hsa-mir-451,Lung Neoplasms
511,512,hsa-mir-497,Lung Neoplasms
512,513,hsa-mir-511,Lung Neoplasms
513,514,hsa-mir-7,Lung Neoplasms
514,515,hsa-mir-9,Lung Neoplasms
515,516,hsa-mir-93,Lung Neoplasms
516,517,hsa-mir-95,Lung Neoplasms
517,518,hsa-mir-98,Lung Neoplasms
518,519,hsa-mir-99a,Lung Neoplasms
519,520,hsa-let-7e,Lymphoma
520,521,hsa-mir-106a,Lymphoma
521,522,hsa-mir-10a,Lymphoma
522,523,hsa-mir-127,Lymphoma
523,524,hsa-mir-139,Lymphoma
524,525,hsa-mir-143,Lymphoma
525,526,hsa-mir-145,Lymphoma
526,527,hsa-mir-149,Lymphoma
527,528,hsa-mir-150,Lymphoma
528,529,hsa-mir-151,Lymphoma
529,530,hsa-mir-155,Lymphoma
530,531,hsa-mir-16,Lymphoma
531,532,hsa-mir-17,Lymphoma
532,533,hsa-mir-19a,Lymphoma
533,534,hsa-mir-19b,Lymphoma
534,535,hsa-mir-20a,Lymphoma
535,536,hsa-mir-21,Lymphoma
536,537,hsa-mir-210,Lymphoma
537,538,hsa-mir-221,Lymphoma
538,539,hsa-mir-320,Lymphoma
539,540,hsa-mir-328,Lymphoma
540,541,hsa-mir-92,Lymphoma
541,542,hsa-mir-95,Lymphoma
542,543,hsa-mir-99a,Lymphoma
543,544,hsa-mir-124a,Medulloblastoma
544,545,hsa-mir-125a,Medulloblastoma
545,546,hsa-mir-125b,Medulloblastoma
546,547,hsa-mir-17,Medulloblastoma
547,548,hsa-mir-18a,Medulloblastoma
548,549,hsa-mir-199b,Medulloblastoma
549,550,hsa-mir-19a,Medulloblastoma
550,551,hsa-mir-19b,Medulloblastoma
551,552,hsa-mir-20,Medulloblastoma
552,553,hsa-mir-20a,Medulloblastoma
553,554,hsa-mir-324,Medulloblastoma
554,555,hsa-mir-326,Medulloblastoma
555,556,hsa-mir-34a,Medulloblastoma
556,557,hsa-mir-9,Medulloblastoma
557,558,hsa-mir-92,Medulloblastoma
558,559,hsa-mir-92a,Medulloblastoma
559,560,hsa-mir-200a,Meningioma
560,561,hsa-let-7b,Multiple Myeloma
561,562,hsa-let-7e,Multiple Myeloma
562,563,hsa-mir-106b,Multiple Myeloma
563,564,hsa-mir-125a,Multiple Myeloma
564,565,hsa-mir-140,Multiple Myeloma
565,566,hsa-mir-181a,Multiple Myeloma
566,567,hsa-mir-181b,Multiple Myeloma
567,568,hsa-mir-19a,Multiple Myeloma
568,569,hsa-mir-19b,Multiple Myeloma
569,570,hsa-mir-25,Multiple Myeloma
570,571,hsa-mir-32,Multiple Myeloma
571,572,hsa-mir-335,Multiple Myeloma
572,573,hsa-mir-342,Multiple Myeloma
573,574,hsa-mir-561,Multiple Myeloma
